toc_id,toc_name
C,Central Services
D,Railfreight Distribution
E,Train Operating Companies
G,British Rail International
H,Train Operating Companies
J,Other Businesses
K,BRELand Level 5 Depots
L,Train Operating Companies
P,Train Operating Companies
Q,British Rail Headquarters
R,British Rail Infrastructure Services
T,NRCC
U,Ex-British Rail (now privatised)
V,Ex-British Rail (now privatised)
W,DB Cargo UK
X,Private owners
Y,Private owners
Z,Other businesses
EU,Virtual European Paths
ZB,Unmapped (wasAlliance Rail)
14,Unmapped (wasAlliance Rail)
ED,Northern Trains
23,Northern Trains
HL,Transport for Wales
71,Transport for Wales
HT,c2c
79,c2c
ES,Caledonian Sleeper
35,Caledonian Sleeper
HO,Chiltern Railways
74,Chiltern Railways
EH,CrossCountry
27,CrossCountry
HC,Unmapped (was Northern Spirit)
PO,DC Rail
34,DC Rail
EM,East Midlands Railway
28,East Midlands Railway
GA,Eurostar
06,Eurostar
EG,Unmapped (wasFirst Capital Connect)
26,Unmapped (wasFirst Capital Connect)
PF,Hull Trains
55,Hull Trains
HV,Unmapped (wasGatwick Express)
81,Unmapped (wasGatwick Express)
PE,GB Railfreight
54,GB Railfreight
ET,Govia Thameslink Railway (Great Northern)
88,Govia Thameslink Railway (Great Northern)
ET,Govia Thameslink Railway (Thameslink)
88,Govia Thameslink Railway (Thameslink)
EC,Grand Central
22,Grand Central
LN,Grand Central (North West)
14,Grand Central (North West)
EF,Great Western Railway
25,Great Western Railway
EB,Greater Anglia
21,Greater Anglia
EE,Heathrow Connect
24,Heathrow Connect
HM,Heathrow Express
86,Heathrow Express
HZ,Island Lines
85,Island Lines
LS,Locomotive Services
89,Locomotive Services
EJ,West Midlands Trains
29,West Midlands Trains
EK,London Overground
30,London Overground
XC,LUL Bakerloo Line
91,LUL Bakerloo Line
XE,LUL District Line - Richmond
93,LUL District Line - Richmond
XB,LUL District Line - Wimbledon
90,LUL District Line - Wimbledon
HE,Merseyrail
64,Merseyrail
LR,Network Rail (On-Track Machines)
15,Network Rail (On-Track Machines)
PG,Nexus (Tyne & Wear Metro)
56,Nexus (Tyne & Wear Metro)
PR,North Yorkshire Moors Railway
51,North Yorkshire Moors Railway
HA,ScotRail
60,ScotRail
HY,South Western Railway
84,South Western Railway
SJ,South Yorkshire Supertram
19,South Yorkshire Supertram
HU,Southeastern
80,Southeastern
HW,Southern
88,Southern
SP,Swanage Railway
18,Swanage Railway
EX,Elizabeth line
33,Elizabeth line
EA,TransPennine Express
20,TransPennine Express
HF,Avanti West Coast
65,Avanti West Coast
HB,London North Eastern Railway
61,London North Eastern Railway
PA,West Coast Railways
50,West Coast Railways
RR,JSD Rail Research & Development
02,JSD Rail Research & Development
PV,Victa Westlink Rail (defunct)
03,Victa Westlink Rail (defunct)
FM,DB Cargo Charters
04,DB Cargo Charters
WA,DB Cargo Freight
05,DB Cargo Freight
PH,Rail Operations Group
07,Rail Operations Group
FD,DB Cargo International
08,DB Cargo International
FL,Freightliner Intermodal
09,Freightliner Intermodal
FX,Serco Rail Operations
10,Serco Rail Operations
DH,Freightliner Heavy Haul
11,Freightliner Heavy Haul
PN,Freight Europe (defunct)
12,Freight Europe (defunct)
PT,Europorte Channel
13,Europorte Channel
LC,LORAM
16,LORAM
YG,Hanson & Hall Rail Services
17,Hanson & Hall Rail Services
QJ,Network Rail Virtual Freight Company
31,Network Rail Virtual Freight Company
EI,Unmapped (wasWrexham and Shropshire)
32,Unmapped (wasWrexham and Shropshire)
TY,Vintage Trains
36,Vintage Trains
RU,Seco Rail (defunct)
37,Seco Rail (defunct)
RQ,Carillion Rail CTRL (Phase 1) (defunct)
38,Carillion Rail CTRL (Phase 1) (defunct)
RT,Harsco
39,Harsco
RZ,Balfour Beatty Rail
40,Balfour Beatty Rail
PX,Unmapped (wasEurophoenix)
41,Unmapped (wasEurophoenix)
RG,Colas Rail
42,Colas Rail
RE,Amey Fleet Services
43,Amey Fleet Services
RB,Carillion Rail
44,Carillion Rail
LD,Lumo
45,Lumo
RD,SB (Swietelsky Babcock) Rail
46,SB (Swietelsky Babcock) Rail
47,Unmapped
48,Unmapped
RH,VolkerRail
49,VolkerRail
PK,Pre Metro Operations
52,Pre Metro Operations
PS,SNCF Freight Services
53,SNCF Freight Services
GO,Go-Op
57,Go-Op
PI,Unmapped (wasAdvenza Freight)
58,Unmapped (wasAdvenza Freight)
PM,On Route Logistics
59,On Route Logistics
SO,Railadventure
11,Railadventure
62,Fishbone Solutions
63,Unmapped
66,Unmapped
67,Unmapped
68,Unmapped
69,Unmapped
70,Unmapped
LF,Grand Union Trains
12,Grand Union Trains
LG,Legge Infrastructure Services
72,Legge Infrastructure Services
73,Unmapped
75,Unmapped
76,Unmapped
77,Unmapped
78,Unmapped
HW,Unmapped (wasSouthern)
82,Unmapped (wasSouthern)
83,Unmapped
87,Unmapped
NR,Network Rail Reserved Pathings (non-QJ)
92,Network Rail Reserved Pathings (non-QJ)
XJ,Ffestiniog Railway
94,Ffestiniog Railway
MV,Varamis Rail
95,Varamis Rail
96,Unmapped
XH,Direct Rail Services
97,Direct Rail Services
RM,Internal Testing
98,Internal Testing
99,Unmapped
HS,Unmapped (wasAnglia Railways)
HP,Unmapped (wasSilverlink Train Services)
HG,Unmapped (wasCentral Trains)
HQ,Unmapped (wasWAGN)
HR,Unmapped (wasFirst Great Eastern)
